playerID,idx,lgID,yearID,teamID,data_split,Batting_AtBats,Batting_Runs,Batting_BaseOnBalls,Batting_Hits,Batting_HomeRuns,Batting_Games,Batting_BattingAverage,Batting_PlateAppearances,Batting_OnBasePct,Batting_SlugPct,Batting_Doubles,Batting_Triples,Batting_RunsBattedIn,Batting_StolenBases,Batting_CaughtStealing,Batting_Strikeouts,Batting_IntentionalWalks,Batting_HitByPitch,Batting_SacrificeHits,Batting_Sacrifice_Flies,Batting_GroundedIntoDoublePlays
aaronha01,1,NL,1974,ATL,train,340,47,39,91,20,112,0.268,382,0.341,0.491,16,0,69,1,0,29,6,0,1,2,6
aaronha01,1,AL,1975,ML4,train,465,45,70,109,12,137,0.234,543,0.332,0.355,16,2,60,0,1,51,3,1,1,6,15
aaronha01,1,AL,1976,ML4,train,271,22,35,62,10,85,0.229,308,0.315,0.369,8,0,35,0,1,38,1,0,0,2,8
abbotku01,2,NL,1994,FLO,train,345,41,16,86,9,101,0.249,371,0.291,0.394,17,3,33,3,0,98,1,5,3,2,5
abbotku01,2,NL,1995,FLO,train,420,60,36,107,17,120,0.255,468,0.318,0.452,18,7,60,4,3,110,4,5,2,5,6
abbotku01,2,NL,1996,FLO,train,320,37,22,81,8,109,0.253,349,0.307,0.428,18,7,33,3,3,99,1,3,4,0,7
abbotku01,2,NL,1997,FLO,train,252,35,14,69,6,94,0.274,273,0.315,0.433,18,2,30,3,1,68,3,1,6,0,5
abbotku01,2,AL,1998,OAK,train,123,17,10,33,2,35,0.268,136,0.326,0.39,7,1,9,2,1,34,0,1,1,1,3
abbotku01,2,NL,1999,COL,train,286,41,16,78,8,96,0.273,305,0.31,0.43,17,2,41,3,2,69,0,0,2,1,4
abbotku01,2,NL,2000,NYN,train,157,22,14,34,6,79,0.217,173,0.283,0.389,7,1,12,1,1,51,2,1,0,1,2
abnersh01,3,NL,1988,SDN,train,83,6,4,15,2,37,0.181,89,0.225,0.289,3,0,5,0,1,19,1,1,0,1,1
abnersh01,3,NL,1989,SDN,train,102,13,5,18,2,57,0.176,108,0.213,0.275,4,0,14,1,0,20,2,0,0,1,1
abnersh01,3,NL,1990,SDN,train,184,17,9,45,1,91,0.245,198,0.286,0.31,9,0,15,2,3,28,1,2,2,1,3
